Quarter end,Shares,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,Adj Close,Beta,Correlation,Cumulative Return,Date,Kurtosis,SPY Cumulative Return,Sharpe Ratio,Standard Deviation,Target,Ticker Name
2005-10-31,428760226,6751000000,4447000000,2670000000,1936000000,4081000000,362000000,0,105000000,25000000,25000000,0.05,0.04,0.0,419000000,-78000000,-892000000,-556000000,2226000000,-10000000,29.82,34.45,25.18,0.0835,0.0459,9.52,3.73,38.73,0.0,0,0.0,0.6045,0.0636,0.72,1,2.2969999999999997,20.314985,1.0585878866895009,0.3766863534853678,0.29542693866380065,2005-10-31,20.712191427574947,0.06766857376167779,0.057580425204883295,0.01878603276732081,-1,A
2006-01-31,433220694,8026000000,4626000000,3844000000,1637000000,4182000000,375000000,1500000000,1336000000,2816000000,2816000000,5.95,5.83,0.0,-128000000,1916000000,-1280000000,511000000,2737000000,48000000,34.0,36.1,31.9,0.7562,0.4136,9.65,3.57,52.31,0.0,0,0.3587,0.5211,0.6311,0.66,-0.41,2.8259,21.520809,1.0726768774246243,0.4237760723434598,0.5336951634617422,2006-1-31,22.290861886731495,0.08364720540355375,0.12085199060341471,0.016836964320465858,-1,A
2006-04-30,425817452,8057000000,4576000000,3983000000,1784000000,4074000000,481000000,1500000000,1431000000,115000000,115000000,0.27,0.26,0.0,296000000,-94000000,-291000000,-80000000,2657000000,-32000000,36.53,39.54,33.52,0.7516,0.4055,9.57,3.79,5.83,0.0,0,0.3682,0.5056,0.6711,0.6,0.77,2.565,24.383059,1.0890753338978847,0.408833200851758,0.8321409630803036,2006-4-30,25.63690483058109,0.12773623826062508,0.19871431907522485,0.016247263243767636,-1,A
2006-07-31,408679323,7729000000,4219000000,3937000000,1679000000,3792000000,481000000,1500000000,1453000000,227000000,227000000,0.55,0.54,0.0,65000000,40000000,-515000000,-408000000,2249000000,-56000000,33.46,39.45,27.47,0.7894,0.4166,9.28,3.5,5.28,0.0,0,0.3956,0.4906,0.736,0.57,0.3,2.5128,18.049298999999998,1.3525393393112513,0.5000258343140302,0.0728023637042301,2006-7-31,16.265592603510186,0.033439963413250506,0.010196704483112103,0.018752083590693802,1,A
2006-10-31,407110959,7369000000,3958000000,3721000000,1538000000,3648000000,468000000,1500000000,753000000,149000000,149000000,0.36,0.36,0.0,401000000,-66000000,-322000000,13000000,2262000000,18000000,31.39,35.81,26.96,0.8428,0.4242,8.96,3.38,4.71,0.0,0,0.4112,0.495,0.665,0.64,0.94,2.5735,22.593365,1.5414105293838625,0.5546042845530488,0.11215267941374307,2006-10-31,4.905396440366729,0.1416143441925557,0.019933840613889114,0.01748838692991626,-1,A
2007-01-31,403653544,7193000000,3749000000,3536000000,1372000000,3657000000,517000000,1500000000,1280000000,150000000,150000000,0.37,0.36,2.0569,93000000,-93000000,-169000000,-172000000,2090000000,36000000,33.69,35.69,31.68,0.169,0.0845,9.06,3.76,4.82,2.06,1.2953,0.4102,0.5084,0.1304,0.65,0.14,2.7325,21.554052,1.5775786582544562,0.5410417974821178,0.001544691001160725,2007-1-31,4.574838691221795,0.12355480863415691,-0.005254094395274186,0.017856785382414326,-1,A
2007-04-30,395958101,7283000000,3791000000,3728000000,1554000000,3555000000,517000000,1500000000,1320000000,123000000,123000000,0.31,0.3,0.0,302000000,-36000000,-320000000,-40000000,2050000000,35000000,33.03,35.8,30.26,0.1772,0.0878,8.98,3.65,21.73,2.06,1.2793,0.4219,0.4881,0.135,0.65,0.67,2.4395,23.150404,1.3722008989577053,0.5246805963357152,-0.05863932205972944,2007-4-30,5.040190473532023,0.13575039803344602,-0.019038248129585936,0.017572903029822735,-1,A
2007-07-31,386547716,7024000000,3281000000,3736000000,1510000000,3288000000,732000000,1500000000,1374000000,185000000,185000000,0.47,0.45,0.0,176000000,-258000000,-484000000,-564000000,1486000000,32000000,37.41,40.42,34.4,0.1716,0.0841,8.51,4.17,23.98,2.06,1.3678,0.4562,0.4681,0.1284,0.65,0.37,2.1728,25.696468,1.0810208761159592,0.4834910580414003,0.4236823269424481,2007-7-31,6.5461976527836185,0.1399041101336771,0.10666097616112712,0.014951384894140843,-1,A
2007-10-31,371468596,7554000000,3671000000,4320000000,1663000000,3234000000,736000000,2087000000,1446000000,180000000,180000000,0.48,0.47,0.0,398000000,-69000000,-7000000,340000000,1826000000,39000000,35.26,39.37,31.15,0.1858,0.0878,8.71,4.14,23.99,2.06,1.3014,0.6453,0.4281,0.1177,0.75,0.97,2.2075,24.820841,1.0027307149086009,0.5506531915940758,0.09858982935919469,2007-10-31,11.912191742811583,0.12441766066783888,0.019179802857386553,0.015347358866278166,-1,A
2008-01-31,365042397,7459000000,5070000000,4286000000,2674000000,3173000000,841000000,626000000,1393000000,120000000,120000000,0.32,0.31,0.0,4000000,-295000000,-168000000,-441000000,1385000000,20000000,34.75,38.24,31.26,0.1835,0.0829,8.69,3.99,21.99,2.06,0,0.1973,0.4254,0.1099,0.75,-0.04,1.896,22.806881,0.9595262441883609,0.5985221441844941,0.05812498735736571,2008-1-31,9.276985499599956,-0.041502072960716396,0.007643718270767258,0.017334488888241406,-1,A
